id,x,y,z
93,-2670340.413550735,-4469714.53953215,3671558.920076655
94,-2670344.4687180133,-4469713.319592462,3671557.6034952602
95,-2670350.0303920032,-4469713.198907909,3671556.4085775856
96,-2670334.4783559362,-4469690.261829276,3671590.338500008
97,-2670330.1607579347,-4469691.522564796,3671591.9335518316
98,-2670343.078149886,-4469687.403286439,3671589.6200680914
99,-2670338.7011351944,-4469688.52533057,3671589.4045544756
100,-2670346.402788256,-4469704.019378863,3671565.1377342073
101,-2670350.464953442,-4469702.881938132,3671563.664497433
102,-2670354.6765120523,-4469701.2554961955,3671562.570999175
103,-2670325.0709045134,-4469685.725219524,3671602.7253453736
104,-2670353.787841198,-4469693.964779037,3671572.185111136
105,-2670349.2178190127,-4469695.540314264,3671573.7719299654
106,-2670346.633740207,-4469695.174079735,3671576.012818429
107,-2670340.1179365646,-4469690.946125671,3671585.4707348165
108,-2670336.090712121,-4469692.08399816,3671586.970013159
109,-2670347.9238658724,-4469688.098720729,3671583.740356363
110,-2670344.5703290715,-4469689.410926442,3671584.52478585
111,-2670335.5565976654,-4469702.621286485,3671574.6307127504
112,-2670352.671152499,-4469700.644143266,3671575.4873600635
113,-2670349.217890053,-4469701.144842091,3671572.31529184
114,-2670346.193010988,-4469704.264628939,3671576.2909151935
115,-2670337.925052644,-4469703.2956696125,3671572.6739788856
116,-2670336.120866796,-4469694.407759302,3671584.7600775375
117,-2670339.527517712,-4469695.090023751,3671585.0496087414
118,-2670346.661699755,-4469709.883817253,3671560.0355992187
119,-2670350.604177124,-4469708.772758954,3671558.323253627
120,-2670333.3270929195,-4469687.774483835,3671594.2127541713
121,-2670328.8578119096,-4469689.389437188,3671595.5063306764
122,-2670324.672504893,-4469691.056861977,3671596.5485431375
123,-2670320.8706798665,-4469692.421205028,3671597.8529329714
124,-2670340.278426985,-4469703.690201291,3671569.9436502075
125,-2670353.1474060635,-4469698.992083599,3671566.3956813607
126,-2670349.2616519597,-4469700.406215096,3671567.5623386703
127,-2670349.0271457774,-4469697.321305612,3671578.009711334
128,-2670359.601407633,-4469689.46005517,3671573.259243102
129,-2670355.4448860134,-4469691.115073976,3671574.2438738416
130,-2670351.008762171,-4469692.3384241,3671575.917980066
131,-2670345.623073932,-4469685.581109106,3671585.544980147
132,-2670354.378698029,-4469683.379684796,3671584.333898944
133,-2670350.192435464,-4469684.724711383,3671585.490296766
134,-2670317.192811015,-4469716.449652523,3671572.023360122
135,-2670313.8888583817,-4469718.793579315,3671573.8219239563
136,-2670309.0933110397,-4469719.3683423875,3671574.1732516233
137,-2670360.7379355216,-4469691.423074865,3671569.8396296115
138,-2670312.264095213,-4469710.344867183,3671582.915107842
139,-2670308.1442293045,-4469711.907838964,3671583.9326726305
140,-2670359.9270344432,-4469684.2210117495,3671579.463060095
141,-2670351.869682337,-4469686.852583872,3671581.826163867
142,-2670330.356967527,-4469686.683094437,3671597.5403557364
143,-2670359.187263242,-4469694.400437032,3671567.5669095744
144,-2670354.6849898887,-4469696.069091156,3671568.6466681566
145,-2670350.628109975,-4469697.532798521,3671569.9115736294
146,-2670303.1291550575,-4469718.27250998,3671583.6255948273
147,-2670358.539735916,-4469687.225254346,3671576.901596679
148,-2670354.00116569,-4469688.548324556,3671578.5464152955
149,-2670349.6711051883,-4469690.016667353,3671579.5366615397
150,-2670345.421460892,-4469691.621724691,3671580.700807736
151,-2670340.7168383314,-4469685.659031842,3671591.2242317535
152,-2670336.5725230384,-4469686.840733449,3671592.8760391045
153,-2670344.6671491927,-4469684.223696113,3671590.27843795
154,-2670356.3697101236,-4469698.038271614,3671565.013533652
155,-2670309.179385316,-4469718.930198577,3671578.5451585017
156,-2670365.29752112,-4469682.434945574,3671577.1896560933
157,-2670308.1070761066,-4469707.011603302,3671590.0531796403
158,-2670324.489052462,-4469709.976944721,3671581.9555185153
159,-2670333.814146715,-4469706.84633387,3671581.7849183544
160,-2670338.021970679,-4469706.875799543,3671579.00264877
161,-2670310.2191527956,-4469711.179204209,3671583.418249771
162,-2670309.1361589436,-4469722.0576815745,3671578.7850123
163,-2670318.3146902537,-4469718.524173091,3671568.6522472254
164,-2670324.3692573635,-4469717.386234017,3671565.6191327986
165,-2670332.831732168,-4469703.928380483,3671586.265222584
166,-2670341.7687617666,-4469700.572123127,3671583.9701631567
167,-2670349.019735545,-4469698.807924389,3671580.536200276
168,-2670314.2929791883,-4469704.995443357,3671588.0563151855
169,-2670322.184566145,-4469701.939823247,3671585.082041547
170,-2670339.405860573,-4469703.34984588,3671571.3657633383
171,-2670333.138089752,-4469703.485404412,3671575.3504976165
172,-2670330.3878240017,-4469709.776918092,3671571.215156417
173,-2670343.2078223717,-4469708.116415555,3671573.444441588
174,-2670347.870268116,-4469707.338919553,3671571.2404128546
175,-2670313.312650877,-4469715.882096952,3671575.323219141
176,-2670321.684225106,-4469712.71836866,3671573.169400393
177,-2670337.7304105796,-4469697.519373484,3671590.303237847
178,-2670330.64070842,-4469699.108155797,3671593.7809455
179,-2670319.5380956694,-4469698.6649267655,3671593.5630428153
180,-2670311.300897777,-4469700.985795352,3671594.825097103
181,-2670332.602401457,-4469714.408157333,3671563.7554129544
182,-2670341.603222254,-4469711.59686904,3671561.515357547
183,-2670353.529100441,-4469691.451522549,3671575.2730839895
184,-2670361.6637629825,-4469688.726493845,3671572.638895591
185,-2670345.2866916317,-4469694.284778752,3671577.8196739126
186,-2670339.4825615254,-4469685.526827117,3671592.483220503
187,-2670331.340106451,-4469688.679154355,3671594.5717084995
188,-2670322.693676678,-4469691.812859097,3671597.202311037
189,-2670314.897605359,-4469694.842417394,3671599.3271448435
190,-2670344.0953811337,-4469704.942790573,3671565.6537228613
191,-2670342.468801559,-4469690.18530889,3671584.8476542705
192,-2670350.834270591,-4469687.555977201,3671581.844627434
193,-2670359.4831953812,-4469684.457347041,3671579.5670622964
194,-2670332.2166665695,-4469685.21820332,3671598.037204993
195,-2670312.5348114087,-4469697.193716589,3671598.4155586176
196,-2670344.7179940403,-4469690.144290476,3671583.2893979894
197,-2670342.1172480946,-4469690.966909906,3671584.2083229483
198,-2670348.233492625,-4469688.578166161,3671582.453144856
199,-2670346.365683543,-4469689.411121926,3671582.8645465965
200,-2670316.1326242583,-4469701.289303817,3671591.588913244
201,-2670318.9536587377,-4469700.827330915,3671591.301278594
202,-2670320.729119033,-4469700.334336589,3671590.700991546
203,-2670327.054381406,-4469702.651058557,3671592.0878556916
204,-2670324.370993421,-4469701.243360388,3671591.461961815
205,-2670329.183247343,-4469701.783030702,3671591.633909066
206,-2670331.2676319494,-4469701.068959649,3671591.0950260623
207,-2670333.389314799,-4469700.169838826,3671590.6320401947
208,-2670337.5856792848,-4469691.154041546,3671586.9453110327
209,-2670341.6685587442,-4469689.721543853,3671585.9175789137
210,-2670339.5644448064,-4469690.5509177195,3671586.296742666
211,-2670343.77809142,-4469689.3826788645,3671585.0968183503
212,-2670315.3259153445,-4469700.030276108,3671593.1760330675
213,-2670325.1145588816,-4469700.633104085,3671592.9928838
214,-2670326.536165443,-4469701.301992414,3671594.0763995363
215,-2670328.2777381055,-4469700.778525808,3671593.6410962134
216,-2670334.883104409,-4469688.202495827,3671592.4326934936
217,-2670336.9621964153,-4469687.32954951,3671591.96882407
218,-2670338.8789765523,-4469686.797255288,3671591.3139418173
219,-2670341.2107552127,-4469685.87523056,3671590.7959443447
220,-2670311.073719855,-4469701.553516887,3671594.3027097313
221,-2670344.316401606,-4469685.9312166255,3671590.436410678
222,-2670313.2068465985,-4469700.842223691,3671593.7598111164
223,-2670320.5690844697,-4469700.080622325,3671588.6357723735
224,-2670318.4777880134,-4469701.0132213365,3671589.191790351
225,-2670330.160097468,-4469702.53485518,3671590.018937469
226,-2670334.2048036894,-4469700.063688423,3671590.0502560018
227,-2670344.2727174317,-4469686.650531937,3671586.12576774
228,-2670342.6772338543,-4469688.1673004925,3671586.878244288
229,-2670349.5966806146,-4469686.16660309,3671585.6282525556
230,-2670317.170804197,-4469701.688283075,3671589.578925605
231,-2670347.1138816364,-4469687.150253016,3671586.198128283
232,-2670319.0952555034,-4469698.449492042,3671593.8152960576
233,-2670320.6729202,-4469697.718600116,3671593.438301145
234,-2670326.7636964694,-4469698.930126729,3671593.7570369546
235,-2670329.4535333016,-4469698.964994092,3671594.7081907312
236,-2670331.5099042887,-4469698.334561312,3671594.036580653
237,-2670333.4122576104,-4469697.574266892,3671593.546913628
238,-2670341.756735935,-4469684.526607249,3671591.8595471834
239,-2670311.964515909,-4469700.004066662,3671595.4291381314
240,-2670313.931283637,-4469699.304582647,3671594.767577845
241,-2670316.287362964,-4469698.552917477,3671594.164233782
242,-2670344.936207096,-4469686.568484905,3671588.492378872
243,-2670341.7910262807,-4469687.151893135,3671588.763743425
244,-2670348.167359837,-4469685.79471338,3671587.4907721207
245,-2670311.7401578543,-4469702.581978458,3671592.646598113
246,-2670345.984398059,-4469686.016587103,3671588.3851366807
247,-2670313.8238216382,-4469701.827298592,3671592.07097616
248,-2670315.145865521,-4469697.657663852,3671596.071606647
249,-2670328.7535501877,-4469698.06558535,3671596.146104187
250,-2670337.081755199,-4469684.869446856,3671594.8055387666
251,-2670311.410223985,-4469698.853559614,3671597.1172542972
252,-2670313.3487969697,-4469698.210258845,3671596.6499804934
253,-2670324.390122593,-4469688.001780981,3671600.567914526
254,-2670326.5280573056,-4469687.2044551885,3671600.073742942
255,-2670328.598670125,-4469686.53474065,3671599.249316339
256,-2670330.9007856967,-4469685.619850823,3671598.675029566
257,-2670334.8395838877,-4469693.359453838,3671586.6080337935
258,-2670338.87801524,-4469691.960213651,3671585.3130720793
259,-2670336.681971873,-4469692.87384225,3671585.8295236835
260,-2670329.520113373,-4469691.325150288,3671592.635168136
261,-2670331.9857126093,-4469690.387299521,3671591.987799416
262,-2670333.9414713215,-4469689.714288003,3671591.5094728693
263,-2670335.940416941,-4469688.954247805,3671590.8978772974
264,-2670310.3982145744,-4469703.272688772,3671592.919138408
265,-2670333.8638374517,-4469692.44080865,3671588.320288025
266,-2670335.861922608,-4469691.643302016,3671587.771896795
267,-2670307.3829095718,-4469705.892006424,3671591.7921096343
268,-2670319.8415623894,-4469688.302408954,3671603.525405154
269,-2670321.7177252225,-4469687.49954751,3671603.0370403375
270,-2670327.185580835,-4469690.721492493,3671595.0519354115
271,-2670329.3202492236,-4469689.969147045,3671594.3502501803
272,-2670331.3009836604,-4469689.555365474,3671593.5576757984
273,-2670333.5782533297,-4469688.712881986,3671592.9310558364
274,-2670336.8603597726,-4469690.019361598,3671588.858794905
275,-2670334.419992872,-4469690.996066763,3671589.4409506936
276,-2670340.894241394,-4469688.80446785,3671587.58604883
277,-2670338.8230347224,-4469689.446513178,3671588.1852419516
278,-2670324.6042329464,-4469685.521556333,3671603.343364345
279,-2670311.069155412,-4469704.253591845,3671591.3345590685
280,-2670332.0993735576,-4469687.677872944,3671595.0784512553
281,-2670336.0691357707,-4469686.3797942195,3671593.8662565188
282,-2670334.2729117353,-4469687.1533405585,3671594.1595673454
283,-2670338.6273793536,-4469685.565691129,3671592.9850236718
284,-2670327.300106449,-4469688.368227169,3671597.901294889
285,-2670329.419326208,-4469687.537040341,3671597.306112228
286,-2670331.5109463655,-4469686.86857526,3671596.6377477627
287,-2670333.6140191494,-4469686.053147933,3671596.156099122
288,-2670341.3154820707,-4469691.809313885,3671583.8725870973
289,-2670339.491445715,-4469692.431608954,3671584.420726216
290,-2670315.855371911,-4469703.102582113,3671590.771213874
291,-2670313.290853621,-4469703.290516162,3671590.9457620145
292,-2670326.002665435,-4469703.468310647,3671591.7385473736
293,-2670336.875495729,-4469696.248183324,3671588.7612216435
294,-2670333.8406080734,-4469694.923578578,3671589.999089284
295,-2670318.818265856,-4469690.014844624,3671602.297628714
296,-2670324.041188962,-4469693.209415365,3671594.557149988
297,-2670326.088096558,-4469692.564414169,3671593.9099966623
298,-2670360.227871707,-4469684.465728658,3671579.0015878617
299,-2670321.3909913907,-4469692.842645993,3671597.1401090003
300,-2670323.761127662,-4469692.598852683,3671596.7589421906
301,-2670325.26329136,-4469691.434414274,3671595.6651173984
302,-2670359.274032077,-4469683.783797495,3671580.446320575
303,-2670357.093277586,-4469684.644204761,3671580.91244652
304,-2670319.290754353,-4469693.550092949,3671597.681176043
305,-2670320.9828564646,-4469689.0349931065,3671601.9012715593
306,-2670322.9959131624,-4469688.557516439,3671601.0587215745
307,-2670355.2046290548,-4469685.440589224,3671581.244932319
308,-2670326.272023435,-4469689.815819902,3671596.979968022
309,-2670328.645093578,-4469689.101944562,3671596.1113353996
310,-2670322.5029942566,-4469691.042672877,3671598.288723246
311,-2670323.814398554,-4469687.026854929,3671602.2664919
312,-2670325.9122578218,-4469686.369678159,3671601.63179897
313,-2670327.7084408235,-4469685.644397935,3671601.0728514045
314,-2670321.3367018383,-4469690.401731825,3671599.8719264115
315,-2670325.781568169,-4469688.922185742,3671598.6741129183
316,-2670323.7461643605,-4469689.602131531,3671599.236145872
317,-2670335.194585703,-4469694.346942704,3671586.8676545825
318,-2670319.5821331446,-4469691.113206092,3671600.2792946887
319,-2670325.128761969,-4469694.060575918,3671592.811159001
320,-2670326.770239334,-4469693.451340538,3671592.396416475
321,-2670330.8598290645,-4469692.202599993,3671590.830680724
322,-2670346.912420972,-4469684.273997007,3671588.785339885
323,-2670316.8798833396,-4469699.554267623,3671592.438836366
324,-2670318.6502002245,-4469695.102313724,3671596.4569715667
325,-2670321.2820627396,-4469695.000847684,3671596.163748632
326,-2670330.702162451,-4469696.675827759,3671596.2805544916
327,-2670354.5520949117,-4469686.148012579,3671581.033703873
328,-2670314.4409144726,-4469696.544822795,3671597.650275966
329,-2670316.376947222,-4469695.819724093,3671597.145548453
330,-2670318.0164428535,-4469691.407686902,3671601.296303459
331,-2670353.861858754,-4469685.575578212,3671582.0691807005
332,-2670313.795804262,-4469695.463052094,3671599.5281929746
333,-2670315.911802654,-4469694.628586061,3671598.991139014
334,-2670346.963267147,-4469686.703457312,3671583.6167449784
335,-2670351.4520249637,-4469686.415231883,3671582.777745708
336,-2670349.4336313587,-4469687.116890112,3671583.1630453384
337,-2670319.174851043,-4469698.894809334,3671591.8545189574
338,-2670321.426509896,-4469698.220912234,3671591.2325754557
339,-2670325.483379568,-4469698.421510861,3671592.3085201494
340,-2670332.0040894435,-4469699.444203355,3671592.3376540523
341,-2670336.0762010254,-4469698.247547787,3671590.8943122528
342,-2670334.2822729535,-4469698.821092309,3671591.3759924793
343,-2670320.8084622747,-4469691.796585427,3671598.756872714
344,-2670356.8608568455,-4469683.388797508,3671582.6503369333
345,-2670316.579630295,-4469693.135592841,3671600.0894642025
346,-2670314.6589904586,-4469693.925018521,3671600.6262090066
347,-2670347.737535782,-4469685.33654691,3671584.4511386324
348,-2670354.613232087,-4469684.088940427,3671583.28947943
349,-2670352.3756823475,-4469684.726711941,3671583.858561153
350,-2670321.958346131,-4469696.54947031,3671591.90211262
351,-2670324.0040772487,-4469695.754169815,3671591.385737211
352,-2670325.5930500827,-4469695.4540750375,3671591.343388091
353,-2670333.8157840213,-4469695.548081436,3671591.023923932
354,-2670335.595276939,-4469696.293322139,3671590.1326307086
355,-2670323.6552376132,-4469698.270674098,3671589.3893135604
356,-2670335.1620580684,-4469699.479063339,3671589.9619231205
357,-2670339.223292839,-4469698.154432951,3671588.6466415925
358,-2670315.824582798,-4469692.160917898,3671601.9518555803
359,-2670346.866623969,-4469684.4192167455,3671586.2415365614
360,-2670344.6252364926,-4469685.13064347,3671586.914346562
361,-2670351.6980030853,-4469683.76162737,3671585.6707421197
362,-2670349.543372529,-4469684.498784206,3671586.318856756
363,-2670321.33514757,-4469695.865375118,3671594.319827871
364,-2670323.7865469162,-4469694.511325147,3671593.9096174743
365,-2670327.4411486313,-4469696.362108949,3671594.230836686
366,-2670333.755163144,-4469697.03121783,3671593.7485410525
367,-2670317.2335011954,-4469696.993569976,3671595.1589894053
368,-2670319.00470534,-4469696.176454324,3671594.78097532
369,-2670363.8030558913,-4469689.309254148,3671570.5266371556
370,-2670319.1230073846,-4469706.650098894,3671584.1894118525
371,-2670340.494454271,-4469706.614247453,3671566.3724911725
372,-2670339.4825903345,-4469706.914600784,3671566.8958743443
373,-2670349.635022136,-4469702.336828991,3671576.2042621095
374,-2670354.679242263,-4469699.183810716,3671565.0051780604
375,-2670338.7245060974,-4469707.333837672,3671567.1957795396
376,-2670361.6568415207,-4469689.75623352,3671571.2259009853
377,-2670343.570387135,-4469699.986477433,3671583.3247960233
378,-2670334.7652623346,-4469704.03083857,3671573.6188697345
379,-2670333.1187052988,-4469716.705862004,3671561.1047668667
380,-2670357.6839604164,-4469686.671495388,3671577.9822753137
381,-2670342.751465187,-4469700.172932791,3671583.621922972
382,-2670342.8873673896,-4469694.3927115025,3671579.543695098
383,-2670335.6061872984,-4469703.561258966,3671573.4927430446
384,-2670358.808426824,-4469686.2799151195,3671577.8160789018
385,-2670332.540759188,-4469704.583635225,3671574.436748624
386,-2670355.751422992,-4469687.330815186,3671578.633150046
387,-2670344.4607755677,-4469699.560282862,3671583.23139139
388,-2670333.5270302566,-4469704.268386711,3671574.139902933
389,-2670356.5845959503,-4469687.256379091,3671578.1384336343
390,-2670345.0756844436,-4469710.265932015,3671560.6676560724
391,-2670346.3947551,-4469709.988265608,3671560.1539978604
392,-2670329.3923197393,-4469705.220140986,3671587.1882306905
393,-2670347.4385916125,-4469709.63208247,3671559.830504614
394,-2670343.4009851967,-4469692.193538561,3671581.8665414676
395,-2670348.3965461804,-4469709.271549127,3671559.5570498644
396,-2670321.957883662,-4469709.256664454,3671577.382429601
397,-2670353.637546726,-4469699.526620345,3671565.395125871
398,-2670337.7714828835,-4469707.70980839,3671567.6888573538
399,-2670360.429496978,-4469690.273062344,3671571.5741048204
400,-2670347.4977448652,-4469703.008956724,3671576.9184733676
401,-2670352.705837747,-4469699.944238085,3671565.528761085
402,-2670351.606714854,-4469700.324832792,3671565.845407257
403,-2670317.0952240042,-4469706.603261434,3671585.486613303
404,-2670350.69350184,-4469703.485132623,3671573.912638688
405,-2670338.1301293755,-4469718.342020465,3671558.1310898806
406,-2670342.264183244,-4469708.49719762,3671564.008772874
407,-2670341.176894538,-4469708.523394882,3671564.5726766107
408,-2670348.773152395,-4469704.419575689,3671574.204724501
409,-2670340.3995984253,-4469709.254569883,3671564.8547521983
410,-2670350.1412128457,-4469704.259088602,3671573.669446054
411,-2670336.0103256954,-4469705.359711429,3671571.0777280866
412,-2670314.694814458,-4469705.078537159,3671589.254831482
413,-2670349.562481421,-4469710.882855287,3671556.748798224
414,-2670345.129344789,-4469701.307710593,3671580.704299922
415,-2670357.789114358,-4469688.63180327,3671575.535744993
416,-2670337.0247494834,-4469704.957677067,3671570.813661782
417,-2670355.958837455,-4469700.7527279025,3671562.2524461052
418,-2670334.9448663956,-4469705.791582622,3671571.290761682
419,-2670346.101502731,-4469700.877292424,3671580.505094127
420,-2670358.885097264,-4469688.230263153,3671575.3157961136
421,-2670334.081506805,-4469706.083731249,3671571.7685904996
422,-2670350.784094327,-4469697.85199834,3671569.5856208103
423,-2670336.0920726317,-4469718.592450149,3671559.1108032796
424,-2670356.8490848043,-4469688.987158324,3671575.923441654
425,-2670343.988576643,-4469701.734284827,3671580.9954307848
426,-2670349.8963914905,-4469698.1894518025,3671569.7498489614
427,-2670337.1539679356,-4469718.395332608,3671558.6682868847
428,-2670343.1764189606,-4469707.885978374,3671563.6050648196
429,-2670328.4685260584,-4469701.986508446,3671580.6233995925
430,-2670352.762526561,-4469701.816607737,3671563.379056069
431,-2670346.4463798003,-4469711.999644687,3671557.8398414077
432,-2670347.5922492184,-4469711.464659226,3671557.486092332
433,-2670353.912102437,-4469701.362414466,3671562.976752003
434,-2670348.550925081,-4469711.1447397275,3671557.2493803855
435,-2670344.825023584,-4469693.6088962965,3671578.91875107
436,-2670355.0895337155,-4469701.011209425,3671562.5852584965
437,-2670325.7458646894,-4469703.994900769,3671591.425506165
438,-2670348.072847841,-4469704.625768151,3671574.461381117
439,-2670324.548924171,-4469704.273200525,3671591.7292158785
440,-2670326.5362395756,-4469703.632669254,3671591.2579192123
441,-2670348.9667680534,-4469700.425336493,3671567.6313540665
442,-2670344.8221117877,-4469709.744768772,3671561.4120074185
443,-2670342.122358425,-4469692.060842127,3671582.98541941
444,-2670345.9167269715,-4469709.579124024,3671560.890511505
445,-2670345.302428796,-4469703.230858021,3671578.4090983775
446,-2670359.2531517358,-4469690.075973967,3671572.6451296993
447,-2670337.2204999207,-4469707.109880355,3671568.553316317
448,-2670346.156508944,-4469702.872727875,3671578.1214151233
449,-2670352.3084402834,-4469699.499701112,3671566.4225721597
450,-2670336.5621048636,-4469707.201019513,3671569.0397501905
451,-2670351.1102112164,-4469699.766068862,3671567.000786141
452,-2670342.506255848,-4469710.671841125,3671561.8778454345
453,-2670349.979989916,-4469700.223870982,3671567.142883141
454,-2670316.947496257,-4469706.58772743,3671585.9230943164
455,-2670343.7078558602,-4469710.159354636,3671561.7675820473
456,-2670329.782462621,-4469702.979334501,3671578.3870500186
457,-2670341.7711135745,-4469705.068791609,3671571.0850043814
458,-2670346.8887114627,-4469694.941088926,3671576.0585146695
459,-2670349.0125510315,-4469713.071218284,3671554.7243694146
460,-2670359.874436584,-4469687.9375292305,3671574.972223273
461,-2670354.017573104,-4469703.268157252,3671560.5959599335
462,-2670339.791735522,-4469698.567060009,3671587.616012055
463,-2670345.0191909536,-4469695.364328578,3671576.862959181
464,-2670328.7457931745,-4469703.382694717,3671578.6310330755
465,-2670338.7125760755,-4469698.962847978,3671587.9862325713
466,-2670338.877021759,-4469693.2071033595,3671583.823234113
467,-2670325.7864005,-4469705.810600476,3671588.9414051953
468,-2670325.0912633757,-4469705.588110947,3671589.263556285
469,-2670340.902755236,-4469698.165279678,3671587.23001724
470,-2670331.8605033164,-4469702.455117136,3671577.5540606384
471,-2670340.839561985,-4469692.470010084,3671583.3829449676
472,-2670327.8699250696,-4469705.059064007,3671588.465727356
473,-2670339.8538449123,-4469692.861196302,3671583.6393893836
474,-2670326.837924982,-4469705.379542881,3671588.8583878977
475,-2670345.247003962,-4469711.5974522205,3671559.0373329977
476,-2670346.1382468157,-4469711.376115391,3671558.7474060543
477,-2670347.091410966,-4469710.91813197,3671558.647084879
478,-2670325.902319569,-4469701.83074204,3671582.579566829
479,-2670343.339786758,-4469693.433312682,3671580.2387773027
